,pvalue,weighted_pvalue,log2FoldChange
Psmc3ip,0.59769086,0.500289106,0.077569521
C130083A15Rik,0.597840267,0.61346921,-0.092060708
Pmf1,0.598117252,0.583125992,-0.057862803
Pus10,0.598079125,0.613714312,-0.061942702
Ranbp6,0.598185529,0.570598157,-0.060122519
Adat1,0.598413089,0.592784031,-0.070127422
Bcl2l14,0.598383689,0.901143833,-0.093035246
Ppp2ca,0.598379157,0.379565645,0.048869958
Rpap2,0.598428902,0.469099528,0.064415335
Cpsf6,0.598757266,0.371372981,-0.05932069
1810062G17Rik,0.598952244,1,0.088623401
5830408C22Rik,0.599223588,0.570827246,0.085867461
Abcb6,0.599231636,1,-0.087209908
Lmbrd2,0.599136095,0.593500236,0.077993902
Fis1,0.599530433,0.57039002,-0.050034207
Mkln1,0.599562272,0.696234845,0.054675025
Natd1,0.599540629,0.593900965,0.086547499
Thnsl2,0.599611613,1,-0.090823902
Depdc1a,0.599877136,0.986472567,0.092380166
Fndc9,0.599816951,0.502068723,0.085704171
Zfp772,0.599871968,0.594229188,-0.072426718
Vegfb,0.600226705,0.765093808,0.063216737
Krt15,0.600318162,0.594671184,-0.091954169
Aqp5,0.600444461,1,-0.092600414
Cd300a,0.600519135,0.765466561,0.085231296
4930526A20Rik,0.600875693,0.929395324,0.092334841
Abhd17b,0.600767344,0.573060903,-0.060268482
Banf1,0.60084339,0.57163916,-0.062710884
Zfp599,0.600828948,0.502915801,0.084070642
Sp140,0.60103083,0.585966544,-0.061170479
Cops5,0.601295582,0.775453662,0.049550979
Efr3a,0.601124858,0.372841455,0.053830381
Ifngr1,0.601261262,0.521292238,0.07294686
Ngrn,0.601167563,0.471246324,0.065845949
2310026L22Rik,0.601499478,1,0.090967413
Prkdc,0.601661898,0.550825638,0.067639937
Gm18911,0.601863583,0.910254807,0.090693123
Nr6a1,0.601879143,0.833552501,0.090434065
Gipc1,0.602020682,0.471915072,-0.054950389
Rnaseh2b,0.602148654,0.617890228,-0.05141766
Siglecf,0.602167011,0.504035808,0.086374359
Gm8822,0.602308652,0.573766114,-0.07508625
Bag4,0.602621824,0.596953177,0.068940459
Sf1,0.602720754,0.373831293,-0.054823975
Slc40a1,0.602768555,0.765066904,0.085031822
Snapc4,0.602780692,0.777368917,-0.055430019
Stox1,0.602847603,0.932445346,0.091152979
Fam135a,0.602954658,0.911904942,0.088760689
Bnip3l,0.603103977,0.575289774,0.05230095
A230060F14Rik,0.603322006,0.992137511,0.088343491
Mfsd11,0.603538968,0.592744448,0.066600794
Zbtb20,0.603533245,0.778339438,0.069071613
Gm29243,0.603693847,0.598015115,-0.075696996
Noct,0.603809968,0.55257808,-0.072085669
Prmt6,0.603861964,0.619648328,-0.063652193
Ttc5,0.60396818,0.572541151,0.048016717
Apoo,0.604201287,1,0.082915181
Fkbp4,0.604478568,0.383434641,-0.064009838
Larp4,0.604735628,0.456056861,0.059446934
Sec14l1,0.604733417,0.779887226,0.068295792
Snord83b,0.604544458,0.901887069,-0.089305285
Srp14,0.604714388,0.575322007,0.045692309
Kctd3,0.604825741,0.594008207,-0.060297054
St7l,0.605161447,0.5540295,0.055612322
Smim11,0.605213427,0.599520402,-0.057299874
Gm47689,0.605662281,0.936798907,0.090541263
Gpr21,0.605907093,0.937177566,0.091134216
Nat9,0.606076663,0.769265735,-0.069075214
1810044D09Rik,0.606560744,0.917358765,-0.087610513
Cyc1,0.606650436,0.52596464,-0.045273115
Pias1,0.606608353,0.374642762,-0.049957578
AI839979,0.607391804,0.93947402,-0.090040279
Cdyl2,0.607388679,0.541200997,-0.062099371
Gm16213,0.607232311,0.914469533,0.089383808
Nmnat1,0.60736837,0.6616997,-0.083666052
Pabpn1,0.607330682,0.60161774,-0.057379488
Zhx1,0.607424451,0.783357685,0.046214049
Zkscan7,0.607422786,0.770974308,0.077707273
Csf3r,0.607723804,0.541499604,0.080647822
Gm37101,0.607844873,0.709193846,0.090388658
Pwwp2a,0.607840783,0.370862238,0.055210154
Taf6,0.608039548,0.592799595,0.058179284
Traj15,0.608167239,1,-0.084861309
Crispld2,0.608270648,0.602548864,0.090023993
Trim37,0.608445243,0.593195122,0.062614179
Txndc17,0.608379039,0.556975227,0.056161795
Hspa4,0.608532888,0.37583136,-0.048305464
Pgm1,0.608594057,0.593340206,0.058280294
Arpc4,0.609120208,0.377800488,0.053086038
1110006O24Rik,0.609319697,1,-0.087182064
Haus5,0.609308429,0.603576883,0.074684681
Cherp,0.609435107,0.566712843,-0.045043158
Mthfr,0.609425554,0.59852575,0.073157528
Otud5,0.609491726,0.37642354,-0.037226012
Kcnj8,0.609650827,0.594370488,0.089553399
Ifit2,0.610000383,0.599090298,0.067560971
Prpsap2,0.610036161,0.601683781,-0.062768525
Limk2,0.610518015,0.377057379,-0.050189688
Fcer2a,0.610695892,0.845762965,0.083047685
Gm42547,0.611143607,0.511549547,0.084269587
Zrsr1,0.611110456,0.66577653,-0.076248662
Ube2v2,0.611396426,0.77601787,-0.069094368
Sos1,0.611512933,0.55984433,0.061296099
Gm47438,0.61189407,0.92148997,0.08859655
Asprv1,0.61216685,0.606408416,0.084095877
Gm45453,0.612774334,0.92675616,0.088035382
Traj16,0.612739074,0.914112172,-0.086187892
P2ry10,0.612932021,0.378548275,0.071919011
Dpf2,0.613112681,0.570132614,0.054499384
Hsd17b11,0.613077319,0.667919336,-0.076022243
Snord110,0.613301762,0.849371877,0.078410278
Phf2os1,0.613446172,0.715729078,-0.082656338
Borcs5,0.613589859,0.54672643,0.052245234
Gm43581,0.613635271,1,0.087936133
Syk,0.613683987,0.607911281,0.085646599
Clpx,0.613908893,0.791720269,0.055519184
Dhx16,0.613922266,0.375891511,0.045530555
Ifi35,0.613809015,0.583974585,0.053155897
Npepps,0.613909983,0.598522893,-0.056359115
Zfp458,0.613906075,1,-0.087969401
Mrpl42,0.614224076,0.547291535,-0.062209358
Uba2,0.61418401,0.376051771,-0.050347636
Gm28192,0.614337247,0.608558396,-0.085924874
Gm48478,0.614557477,0.916824949,-0.088383836
Morn3,0.614392264,1,0.088014061
Nek8,0.614551325,0.608770461,-0.07030908
Tob1,0.61453133,0.376264428,-0.074103895
Usp49,0.614431017,0.929261717,0.085717067
Zbtb40,0.6145442,0.481732072,0.061037386
Itpkc,0.615368037,0.599944402,-0.062814467
Syce2,0.615363196,0.670409693,0.07163439
Spaca6,0.615546972,1,-0.087580113
Chmp7,0.615929066,0.715240597,0.044683168
Gm4759,0.61600437,0.390745723,0.063493963
Zfp760,0.616034638,1,0.088089478
Cib1,0.616450511,0.794998035,-0.055819806
Jrkl,0.616339736,0.610542048,0.077703796
Sirpb1c,0.616423929,1,0.082455887
Isoc2b,0.616633293,0.786006871,0.066562932
Rab8a,0.616580343,0.391111075,-0.043046247
Vta1,0.616665958,0.563721377,-0.04767811
Chil3,0.616999565,0.587010057,0.082970837
Vasp,0.616999449,0.381060328,-0.05181097
Isy1,0.617226051,0.565074729,-0.058469061
Gm23094,0.61737229,0.720309817,0.086795767
Tmub1,0.617465957,0.484022393,0.060813267
Gm36948,0.617781398,0.934328813,0.086619482
Gm42907,0.617681807,1,0.087739357
Ndufb8,0.617802127,0.589310069,-0.04992117
Alox5ap,0.61811054,0.673402797,0.080912337
Zfp692,0.61806907,0.565846519,0.06819307
Pcnx3,0.618450372,0.586269773,0.052474799
Psmc6,0.61841004,0.588351976,-0.043833105
Phrf1,0.618596069,0.383677793,-0.048968964
Ube2i,0.618660412,0.3837177,0.057388827
Gm49588,0.618717811,0.935745038,0.08772528
Top1,0.618854675,0.718637927,0.061174245
Clec7a,0.619249511,0.608174002,0.082200199
Hspa8,0.61920619,0.379126745,-0.058598745
Gng12,0.619338924,0.674741065,-0.083852554
Lsm10,0.619373175,0.608295455,0.07007532
Cpsf1,0.619619151,0.379379591,-0.040663198
Gm49783,0.619896155,0.675348142,0.072702483
Pid1,0.619907414,0.723267634,0.087274078
Gm37768,0.620034595,1,-0.086122477
Gm40466,0.620086677,1,-0.079808397
Aftph,0.620164782,0.576690353,-0.048181798
Plekhf2,0.620207892,0.576730441,0.057672836
Ggnbp2,0.620338544,0.537832201,0.04538316
Nid2,0.620294383,1,-0.08702444
Mars2,0.620509707,0.636731282,0.059484598
Bbip1,0.620692253,0.378703313,0.05844885
Ccdc38,0.620767523,1,-0.083276088
Col1a1,0.620904722,0.615064094,0.087057995
Fbxo38,0.621171893,0.538554713,-0.052764328
C1qc,0.621343867,0.520087538,0.080923906
Icosl,0.621320199,0.615475662,-0.071038403
Alyref2,0.621723485,0.615875155,0.06622949
Gpsm3,0.621950519,0.6063619,-0.056614962
Lpar2,0.62215849,0.940948701,-0.085421587
Rad21,0.621957506,0.722241054,0.053344137
Rps12-ps26,0.622110229,0.940875711,-0.08623624
Rsad1,0.622048261,0.677692761,-0.081103164
Scarna2,0.622248328,0.937083102,-0.086242352
Klhl5,0.622379431,0.606780062,0.072769644
Nelfa,0.622329143,0.593628305,0.058951903
Psmb3,0.622393377,0.722747205,0.048576576
9930024M15Rik,0.622738088,1,0.086042192
Zfp455,0.622794557,0.593281221,-0.074606792
2310022B05Rik,0.6239729,0.64028501,0.062884295
C030037D09Rik,0.62382159,0.930645576,-0.085283687
Chmp3,0.623589149,0.570900189,0.05128779
Dhx36,0.623499804,0.804089072,0.05735473
Gm9812,0.623215145,0.963948532,0.084981566
Il13ra1,0.623915588,0.522240163,0.084451456
Lmf1,0.623652355,0.61778588,-0.054711202
Mboat7,0.623785794,0.470423402,-0.051130044
Rcc2,0.623676419,0.38518404,0.045176763
Rufy4,0.623944252,0.93082857,0.085741969
Snord49b,0.623683417,1,0.084124461
Tmem200b,0.623732201,0.93931776,0.086402736
Uspl1,0.624015443,0.724630811,-0.040984525
Vcp-rs,0.623588846,0.521966667,-0.064762366
Zfp362,0.623400751,0.48867459,-0.058557489
Dlec1,0.62426617,0.944136343,0.084927515
Gm12743,0.624338483,1,-0.083901732
Agpat1,0.624476499,0.571491103,0.056270702
Bcl2a1a,0.624438958,1,0.08597455
Cyp2b10,0.624541943,0.931720232,0.084529663
Gm9316,0.62465904,0.931894923,-0.086144799
Wfdc21,0.624633401,1,0.077716796
n-R5s40,0.624852225,1,0.085831695
Traj5,0.624865013,0.932202202,-0.085242149
Zfp953,0.62486584,0.641201295,0.074300925
Gpn3,0.625276869,0.806380842,-0.05273339
Lrp11,0.625169608,0.641513003,-0.074560893
Pura,0.625120888,0.609452807,0.051799794
Trp53-ps,0.625255342,1,-0.080398839
Msl3,0.625803905,0.490558387,-0.057058482
Zfp689,0.626038081,0.64240418,-0.061185042
Gm49839,0.626420218,0.968905929,0.084381831
Tjp2,0.626398619,0.642774144,0.075673489
Clybl,0.626497659,0.617919895,0.062959549
Cfap300,0.626594123,0.943627709,0.085605759
Thap6,0.626555135,0.682602792,-0.072290595
5430400D12Rik,0.626688496,0.73117936,-0.079507884
Gm26980,0.626758742,0.731261317,-0.079978695
Zscan25,0.626751693,1,-0.081439
Gnb1l,0.6269081,0.621011,0.057457822
Ncf1,0.626932915,0.611219417,-0.083863447
AA465934,0.627202484,0.935689348,-0.082791918
Krt8,0.627345408,1,-0.085405922
n-R5-8s1,0.627382638,0.868872718,-0.084634468
Psmc2,0.627614936,0.387616478,0.036534086
C1ra,0.62785825,0.949568983,0.084888414
Nfyb,0.627898097,0.809761277,0.057356821
Primpol,0.627750589,0.61915567,0.062517108
Rapsn,0.627853265,0.684017044,0.084494225
Atg14,0.628098094,0.383221843,-0.061142414
Rasgef1a,0.628143967,0.59837713,-0.079667019
Sri,0.628083407,0.544546981,0.037673126
Zfp322a,0.628040538,0.68422107,-0.060202728
Galnt2,0.628498039,0.598714423,-0.068955083
Gm47469,0.628611649,0.59882265,-0.072081833
Zfp623,0.628506658,0.801141549,-0.063801946
Il9r,0.628767789,0.950944564,0.084010381
Zfp217,0.628810577,0.685059991,-0.073386717
Fpgs,0.628964127,0.493035638,0.057086346
Fxr2,0.629026698,0.598452607,0.058483364
Gm43138,0.629004107,0.972902521,0.084615461
Ccl9,0.629506477,0.623584936,0.083842138
Nrf1,0.629733978,0.385572684,-0.04177092
Uevld,0.629925445,0.623999962,0.072903153
Tmsb4x,0.630168553,0.390855505,0.058069515
2810402E24Rik,0.630331394,0.624402092,-0.06534651
Son,0.630552517,0.389430735,0.055551846
Pglyrp2,0.630889182,0.576723449,0.068184694
Ppp1ccb,0.630826533,0.687256283,0.062716929
Spag5,0.63086661,0.600970751,0.082404966
Rbm44,0.630954717,1,0.082741566
Ippk,0.631050949,0.647548097,0.055348034
Agap3,0.631224759,0.598379454,-0.053071372
Tmem126a,0.631245913,0.385142423,0.051326307
Snx19,0.631426492,0.814311631,0.048253047
Smndc1,0.631647318,0.598780026,-0.050594838
Man2b1,0.631784217,0.386828002,-0.047731142
Gm7461,0.632050933,0.955909971,0.08195942
9330162G02Rik,0.632446519,0.689021182,0.075898575
Emc4,0.632416622,0.563501623,-0.04566399
Gm49172,0.632389388,0.648921526,-0.064463279
Utp23,0.632425342,0.626476343,-0.057526609
Zfp449,0.632302925,0.956291082,0.084085527
Gatad2b,0.632675875,0.563732625,0.053211781
Gm45629,0.632567872,0.738039033,-0.078964878
Tcp1,0.632630265,0.390713957,-0.050589978
2510017J16Rik,0.632839537,1,0.081959811
Exosc7,0.632811623,0.477230164,-0.050566476
Scai,0.632946785,0.806801268,0.065569658
Oip5,0.633124287,0.738688222,0.082164895
Pcdhgc3,0.633233814,0.649788027,-0.078790118
Spg7,0.633193533,0.735288763,-0.03612569
Gm36371,0.633424102,0.627465709,-0.076275037
Gm37274,0.633671732,1,0.082321347
1110032A03Rik,0.633932038,0.808057145,-0.061145843
E2f3,0.633999331,0.690712899,0.070873378
Gm44045,0.634206947,1,-0.082459051
Naa60,0.634332184,0.605077785,-0.049462471
Odf2l,0.634313704,0.805105736,-0.063222557
Brat1,0.634464353,0.57999167,-0.060482725
Sdc1,0.634499109,0.628530603,0.082282634
Ctse,0.634561279,0.623211914,0.059087081
Xpr1,0.634658457,0.497499339,0.065860496
Sh2d5,0.635036462,0.879472627,0.082782359
Lamb2,0.635183976,1,0.083056925
Pcmtd2,0.635198215,0.819175788,-0.06169329
Elp3,0.635362563,0.479153936,-0.062012437
Galnt4,0.635535435,0.624168646,-0.065514425
Lta4h,0.635669928,0.38920714,0.038137029
Gnai2,0.635731247,0.551177642,0.044569794
Atp6v1f,0.635952463,0.606623339,-0.047088168
Zfp956,0.635958588,0.38801777,-0.056359428
4930509H03Rik,0.636389069,0.949394316,-0.082781142
Gm5915,0.636383288,0.742490611,0.081186125
Gm12940,0.636485004,0.65312421,-0.079956314
Polr1a,0.636478716,0.581833087,-0.060346348
Maf,0.636589767,0.653231713,0.071210709
Erlin1,0.636853687,0.628134132,0.059548321
Ncdn,0.636909172,0.607535926,-0.044685775
Trem1,0.63674014,0.628022139,0.071114827
6720482G16Rik,0.637031016,0.69401578,0.076767765
Scaper,0.637049582,0.582997389,-0.056925152
Cacnb3,0.637276888,1,-0.082861047
Ddx19b,0.637443458,0.49968246,0.056459726
Arhgef9,0.637551396,0.951128329,-0.081543016
1600002K03Rik,0.63792821,0.809693465,-0.062994648
Cdon,0.637856596,0.69491521,0.067388061
Gm46519,0.637768246,1,0.082311364
Kat6b,0.637994524,0.622003777,-0.064319289
Mrpl43,0.637752371,0.621767693,-0.051216118
Nup133,0.637938635,0.500070621,-0.052689186
Ppp1r12c,0.637988591,0.390626808,0.044396512
Zbtb11os1,0.638100388,0.632098006,-0.065694124
Fam129c,0.638271005,0.632267018,-0.069044205
Ccdc77,0.63883418,0.814305781,-0.058894308
Ddx59,0.638812972,0.627387563,-0.055300352
Gm44103,0.638684361,0.632676486,0.080308
Gm47664,0.638582192,0.952666118,-0.082515382
Gm6560,0.638446533,0.744897872,-0.074798814
Lgmn,0.638833758,0.655534367,0.082276635
Sqstm1,0.63863379,0.405100084,0.054337412
Tst,0.638470218,0.961512672,-0.080878386
Gm12981,0.638903283,0.988213919,0.081655689
5730521K06Rik,0.638993402,1,0.08036435
Prpf3,0.639059096,0.824154927,-0.057836466
Chrna2,0.639274789,1,0.080327731
Eepd1,0.639415654,0.609114668,-0.080875991
Rasal3,0.639372388,0.405568593,-0.051688002
Akap8,0.639810951,0.405846784,0.039030469
Rtl8b,0.639960607,0.656690674,-0.062194275
Fam8a1,0.640308075,0.81271412,-0.058837702
Gm37663,0.640437588,0.964475458,-0.081869083
Kcnq1ot1,0.640394037,0.628940351,-0.073092984
Stac2,0.640393104,0.964408468,0.082031852
Dedd2,0.640725538,0.611176288,-0.043687023
Edf1,0.640786055,0.55556015,0.048702471
Map3k11,0.641068647,0.607711123,-0.050643281
Slc11a1,0.641195917,0.53670443,0.074482544
Zfp873,0.641326127,0.658091892,-0.068745095
Tmem128,0.641466607,0.61188318,-0.049639813
Ankrd10,0.641534368,0.406939987,-0.052454745
Eif4e,0.641774803,0.587549281,-0.049937068
Ptcd3,0.641758071,0.827635627,-0.055095657
Trav2,0.641786553,0.537198813,-0.077337301
Huwe1,0.642030721,0.745550846,0.054030743
BC049352,0.642199726,1,0.080892911
Phlpp2,0.6424832,0.88978574,0.081114334
Bivm,0.64297362,0.636925397,0.062655772
Cyp2f2,0.642883862,0.659690349,-0.081196735
Ginm1,0.643109569,0.829378571,0.054423485
Gm42549,0.643034561,1,-0.081207986
H2-Ke6,0.642872155,0.636824887,-0.071855189
Lypd2,0.64281049,0.97218266,-0.080511846
Mrps35,0.643028624,0.504060588,-0.047684933
Ncoa7,0.642780059,0.631283698,-0.063393053
Prr15l,0.642641369,0.958721783,0.080666684
Rel,0.642694835,0.484683514,0.071859647
Rimbp3,0.643013005,0.972488942,-0.081311044
Uimc1,0.643143293,0.746842808,-0.045045436
Nlrp3,0.643480881,0.637427887,0.074504729
Fv1,0.643536758,0.701103483,0.078225461
Phyhd1,0.643769987,0.99574142,0.080064331
Nr2c2ap,0.644126546,0.638067478,-0.06474045
Tank,0.644205088,0.614495367,0.053434019
Zfp91,0.644183368,0.589754339,-0.052182884
D130062J10Rik,0.644328653,1,-0.080252478
Il18rap,0.644483855,0.590029437,0.078701054
Gm31814,0.644701109,1,-0.080631717
Gm44553,0.6452702,0.971753195,-0.080373494
Rsph1,0.645303233,1,0.079255204
Lrrc59,0.645474233,0.611887467,0.046016221
Arl16,0.645605214,0.634058324,0.059060963
A3galt2,0.645783457,0.998855725,0.080658945
Ebi3,0.64577244,0.97250955,0.079629008
1700016P03Rik,0.645970728,1,-0.079233045
Thoc1,0.645985783,0.612372399,0.052411098
Clec4n,0.646119355,0.663010426,0.071552159
Wdr41,0.646137975,0.62994312,-0.056916131
Ier5,0.646254525,0.399128332,-0.059857009
Trim65,0.646410632,0.637560227,0.065264716
E130218I03Rik,0.646632431,1,-0.078397497
2610044O15Rik8,0.646936035,0.663848456,-0.060803628
Cxcr2,0.646939197,0.640853672,0.070739007
Gm15712,0.647168419,0.974611843,-0.080257309
Vps45,0.647506013,0.641415156,0.056539341
Kdm5c,0.647602628,0.617736217,0.049469677
Ankrd52,0.647998268,0.64190278,-0.072048967
Cnep1r1,0.648081067,0.641984801,0.052079017
Krt79,0.648036213,0.664977396,0.073308843
Zrsr2,0.647948905,0.488645832,-0.052008905
Mrpl1,0.648260617,0.665207666,-0.054646184
Gm16133,0.648334804,0.980537598,0.07995997
Gm42798,0.64860783,0.756753412,-0.078598501
Zup1,0.648688126,0.592994244,0.040321331
Dnal1,0.648786891,0.981221331,0.07988051
Dyrk1b,0.648783038,0.665743744,-0.063359234
Gm38111,0.648968521,0.97732273,0.079477509
Wfikkn2,0.648932484,0.665897097,0.077878206
Gm42585,0.649060774,1,0.079392208
Slc25a29,0.649346099,0.643237933,-0.069097107
Cdh11,0.649564243,0.969049643,0.077894157
Ppip5k2,0.649474725,0.837587318,0.045656342
Zcchc9,0.649538883,0.594427001,-0.041422751
8430406P12Rik,0.649732841,1,0.078889598
Jmy,0.649815804,0.838027187,-0.071659439
Gm26798,0.649941436,0.900114775,0.078249712
Vangl1,0.649920758,0.982936185,-0.070853364
Commd3,0.650146928,0.59521402,-0.053313478
Lmntd2,0.650131305,0.825182302,0.07290782
Trim23,0.650413594,0.667416926,0.059756134
AC122442.1,0.650470841,0.983768127,-0.079390216
Gm20036,0.650508798,0.970458774,0.079116201
Ost4,0.651085499,0.634766639,-0.049372182
Cdc42se1,0.651274177,0.402228481,-0.048611515
Nom1,0.65135955,0.621319877,-0.041989309
Atpaf1,0.651886386,0.830943098,0.055150694
Fam187b,0.651582275,1,-0.078440118
Gpbar1,0.65158698,0.76022929,-0.075705562
Slc4a10,0.651856132,0.972468788,-0.078450568
Trav9n-1,0.651749809,1,-0.077516914
Trmt44,0.651721374,0.645590864,-0.067094318
Zbtb26,0.651929047,1,0.07591166
Eif1b,0.652427884,0.511428529,-0.058082233
Psmb8,0.652405395,0.565634093,0.049798414
Gm17029,0.652635862,0.903846331,0.074178876
Castor2,0.652799026,0.828568321,0.064542902
Fam122a,0.652776921,0.62267188,-0.051462126
Gabrp,0.652907809,1,-0.076927701
Zfp687,0.653066419,0.596996633,-0.053022078
4732491K20Rik,0.65316028,1,0.077358732
Rhbdf1,0.653244916,0.987963621,0.078751503
Gm7367,0.65351459,0.988371475,-0.077874152
A530017D24Rik,0.653568718,0.975023702,0.077483467
Irf9,0.653662896,0.619650039,-0.054191611
Klri2,0.65392362,1,0.078006877
Lpar6,0.653918001,0.598434561,0.064945956
Nt5dc3,0.653935579,0.712432517,0.07306369
Ppp1r7,0.654071514,0.843515513,0.048066957
Cmtm6,0.654307833,0.405827644,-0.050972251
D7Bwg0826e,0.654401329,0.989712574,0.078145402
Zbtb3,0.65447394,0.976374153,-0.077744373
Pitpnb,0.654543567,0.622729218,0.039347747
Pcdhgc4,0.65480593,1,-0.073760375
2810459M11Rik,0.655136017,1,-0.078202626
6330418K02Rik,0.654939449,0.764140733,0.073792461
Adck1,0.655311004,0.583901185,0.047899397
Ankrd33b,0.655177888,0.764418928,0.071740679
Ctrl,0.65537344,1,0.076157167
Ipo9,0.655329765,0.760994209,-0.047124244
Psmb1,0.655251807,0.404685075,-0.042946662
Stn1,0.655230456,0.399776126,-0.051656636
Gm12352,0.655448176,0.907741152,0.073367972
Asb6,0.655670357,0.609706936,-0.049170125
D830025C05Rik,0.655782506,0.672926195,-0.068105415
Mpv17,0.655628365,0.643902207,-0.05146418
Rida,0.655731013,0.71438856,-0.052823534
Trmt13,0.655693946,0.672835319,-0.05969259
Prpf6,0.655966422,0.406856366,0.045018823
Csf2ra,0.656138833,0.673291836,0.077996525
Cldnd1,0.656199628,0.84626001,-0.039450262
Gm4356,0.656619825,0.715356879,0.074257191
Sav1,0.656605047,0.549602435,-0.062817015
Alg3,0.657427317,0.645668984,-0.052931581
Ccdc59,0.657523978,0.623310213,0.048158398
Gm45212,0.657505532,0.990179155,-0.077260047
Oxa1l,0.657328152,0.601555369,-0.050962947
Polr2m,0.657211792,0.569801229,-0.043844969
Sltm,0.657492308,0.627169801,-0.054478608
Tmem165,0.657170253,0.626862598,0.045586158
Trav15-2-dv6-2,0.657640612,0.98109834,0.074486867
Ddx46,0.658056184,0.408152519,-0.035803888
Gda,0.658021194,0.550787802,0.069182054
Gm37423,0.658003087,0.981639096,0.077324169
Mrps18a,0.65831254,0.401656599,-0.042803404
Psmd2,0.658269894,0.408285071,0.04350088
Fra10ac1,0.658950239,0.642434256,0.046353181
Mrps2,0.659201842,0.650176305,-0.053773713
Scnn1a,0.659209355,1,0.076237945
Lpin3,0.659359831,0.769298147,0.076698204
Mrpl48,0.659358281,0.676595448,-0.054933843
Ufc1,0.659379306,0.516877645,-0.042326746
Atf2,0.659555009,0.629137374,0.045665007
Orc3,0.659674513,0.629251366,-0.0426667
Tns3,0.660057559,0.770112211,-0.076819425
Mmut,0.660461669,0.588490577,0.057890833
Traj22,0.660436704,0.719515192,-0.064514546
1700021A07Rik,0.660920216,1,-0.069919235
Gm36635,0.661076552,1,-0.076458456
Cox6b1,0.661296844,0.767923411,-0.051751876
Pef1,0.661269252,0.605396584,0.049188796
Zfp62,0.661460632,0.630955112,-0.0401443
Apool,0.661539642,0.655316776,-0.058146298
Ncapd2,0.661681748,0.499002353,-0.059007895
Nup153,0.66177663,0.573758934,-0.055446905
Ttf1,0.661841865,0.645253406,-0.052960967
Gm14335,0.662149214,1,0.075540886
Gm43668,0.662221486,1,-0.074327408
Fam222b,0.662292251,0.653224401,0.052206442
Arap3,0.66248213,0.656250398,0.076142397
Ogfod1,0.662397477,0.653328186,-0.051060182
Shtn1,0.662489227,0.772949322,0.074094321
Gm43313,0.662544519,0.679864982,0.073968444
Gm45133,0.6627653,0.988743584,0.072784266
Tsen54,0.662814245,0.519570242,0.052380589
Lmntd1,0.663154443,1,0.076236433
Tbc1d13,0.663182191,0.555107745,0.071687175
Txnrd3,0.663052393,0.631631296,0.066088802
Zfp558,0.663088409,0.773648409,-0.074179883
Rbm17,0.663252343,0.631014701,-0.036820251
Ccdc191,0.663772088,0.681124643,-0.056746528
Eif2b3,0.663827203,0.60750299,0.042734574
Gm9958,0.663490637,0.918879291,-0.075262496
Leng9,0.663633938,0.845917405,-0.056890866
Eif3j1,0.66398042,0.681338422,-0.049516919
Chmp1b,0.664076823,0.856418739,-0.04876673
Gm29322,0.66420136,0.990885963,-0.075262222
H13,0.664252141,0.410243703,0.035915436
Desi1,0.664459821,0.405407243,0.052206112
Gm20234,0.664422748,0.681792312,-0.061107399
Gm48673,0.664538583,0.991389049,0.075882111
Nostrin,0.664547363,1,0.07469498
Xpc,0.664533289,0.633886063,0.056214998
4930594C11Rik,0.664727373,1,-0.075076328
Tti1,0.66471046,0.608311305,-0.056533319
Mfsd9,0.664818959,0.775667503,0.075373022
Fbxl14,0.664943565,0.630343728,0.048965898
Sfswap,0.665048786,0.608856774,0.051111316
Copg2,0.665620965,0.648937787,-0.057862727
Traj20,0.665632742,0.659371374,0.069588801
Fam83h,0.666013793,0.725591172,0.075123142
Phactr4,0.666102934,0.659837143,-0.058980946
Plek,0.666010582,0.635295225,0.07469965
4732440D04Rik,0.666456806,0.660187685,0.063832875
Tshz3,0.666407661,0.994177424,0.075410181
Tubgcp3,0.666412948,0.773864429,0.047354841
Ubb,0.666352246,0.413298066,0.044260805
Fbxo47,0.666652286,1,-0.075084757
Lrif1,0.666953101,0.522814631,0.051330682
Necap2,0.666852964,0.636098758,0.046689267
Trbv4,0.666906889,0.726564159,0.064527021
Gm19967,0.667155939,1,0.075171976
Ndufb11,0.667501217,0.775128169,-0.046935984
Ppp4r1,0.66746934,0.636686708,-0.046303085
Zfp821,0.667505211,0.661226229,-0.059967214
Tbc1d14,0.667657787,0.632916717,0.049153425
Snord55,0.667884065,0.727628747,-0.065989975
Tusc2,0.667882056,0.523542825,0.046570633
4631405J19Rik,0.668310125,0.997015607,-0.074456184
Rin2,0.668282942,0.728063304,0.074460014
Sac3d1,0.668099977,0.651354664,-0.048211332
Sat1,0.668342839,0.633566123,-0.048636144
Tuba4a,0.668291959,0.414501153,-0.048521002
Xlr4c,0.668135377,0.848034058,0.062322147
Il2,0.668524791,0.779991226,0.069774558
Pex10,0.668544915,0.852177304,0.066909557
Gm17641,0.668635423,1,-0.074660536
Abitram,0.668734683,0.656774113,-0.054853506
Arid4b,0.668786574,0.413044179,0.047346189
Pimreg,0.668946218,0.926434816,-0.074413922
Zc3h8,0.669221724,0.662926595,0.059091857
Gmppa,0.669481436,0.61200232,-0.047398473
Gpx4,0.669624983,0.638742936,0.045752706
Nrbf2,0.669708709,0.408609751,-0.051302512
Sumf1,0.669664356,0.687170949,-0.05322619
Ebag9,0.669778515,0.612949347,0.054134501
Gm17056,0.669848162,0.66354714,-0.069937974
